"id","sid","2015-10-08 00:00:00","2015-10-08 00:10:00","2015-10-08 00:20:00","2015-10-08 00:30:00","2015-10-08 00:40:00","2015-10-08 00:50:00","2015-10-08 01:00:00","2015-10-08 01:10:00","2015-10-08 01:20:00","2015-10-08 01:30:00","2015-10-08 01:40:00","2015-10-08 01:50:00","2015-10-08 02:00:00","2015-10-08 02:10:00","2015-10-08 02:20:00","2015-10-08 02:30:00","2015-10-08 02:40:00","2015-10-08 02:50:00","2015-10-08 03:00:00","2015-10-08 03:10:00","2015-10-08 03:20:00","2015-10-08 03:30:00","2015-10-08 03:40:00","2015-10-08 03:50:00","2015-10-08 04:00:00","2015-10-08 04:10:00","2015-10-08 04:20:00","2015-10-08 04:30:00","2015-10-08 04:40:00","2015-10-08 04:50:00","2015-10-08 05:00:00","2015-10-08 05:10:00","2015-10-08 05:20:00","2015-10-08 05:30:00","2015-10-08 05:40:00","2015-10-08 05:50:00","2015-10-08 06:00:00","2015-10-08 06:10:00","2015-10-08 06:20:00","2015-10-08 06:30:00","2015-10-08 06:40:00","2015-10-08 06:50:00","2015-10-08 07:00:00","2015-10-08 07:10:00","2015-10-08 07:20:00","2015-10-08 07:30:00","2015-10-08 07:40:00","2015-10-08 07:50:00","2015-10-08 08:00:00","2015-10-08 08:10:00","2015-10-08 08:20:00","2015-10-08 08:30:00","2015-10-08 08:40:00","2015-10-08 08:50:00","2015-10-08 09:00:00","2015-10-08 09:10:00","2015-10-08 09:20:00","2015-10-08 09:30:00","2015-10-08 09:40:00","2015-10-08 09:50:00","2015-10-08 10:00:00","2015-10-08 10:10:00","2015-10-08 10:20:00","2015-10-08 10:30:00","2015-10-08 10:40:00","2015-10-08 10:50:00","2015-10-08 11:00:00","2015-10-08 11:10:00","2015-10-08 11:20:00","2015-10-08 11:30:00","2015-10-08 11:40:00","2015-10-08 11:50:00","2015-10-08 12:00:00","2015-10-08 12:10:00","2015-10-08 12:20:00","2015-10-08 12:30:00","2015-10-08 12:40:00","2015-10-08 12:50:00","2015-10-08 13:00:00","2015-10-08 13:10:00","2015-10-08 13:20:00","2015-10-08 13:30:00","2015-10-08 13:40:00","2015-10-08 13:50:00","2015-10-08 14:00:00","2015-10-08 14:10:00","2015-10-08 14:20:00","2015-10-08 14:30:00","2015-10-08 14:40:00","2015-10-08 14:50:00","2015-10-08 15:00:00","2015-10-08 15:10:00","2015-10-08 15:20:00","2015-10-08 15:30:00","2015-10-08 15:40:00","2015-10-08 15:50:00","2015-10-08 16:00:00","2015-10-08 16:10:00","2015-10-08 16:20:00","2015-10-08 16:30:00","2015-10-08 16:40:00","2015-10-08 16:50:00","2015-10-08 17:00:00","2015-10-08 17:10:00","2015-10-08 17:20:00","2015-10-08 17:30:00","2015-10-08 17:40:00","2015-10-08 17:50:00","2015-10-08 18:00:00","2015-10-08 18:10:00","2015-10-08 18:20:00","2015-10-08 18:30:00","2015-10-08 18:40:00","2015-10-08 18:50:00","2015-10-08 19:00:00","2015-10-08 19:10:00","2015-10-08 19:20:00","2015-10-08 19:30:00","2015-10-08 19:40:00","2015-10-08 19:50:00","2015-10-08 20:00:00","2015-10-08 20:10:00","2015-10-08 20:20:00","2015-10-08 20:30:00","2015-10-08 20:40:00","2015-10-08 20:50:00","2015-10-08 21:00:00","2015-10-08 21:10:00","2015-10-08 21:20:00","2015-10-08 21:30:00","2015-10-08 21:40:00","2015-10-08 21:50:00","2015-10-08 22:00:00","2015-10-08 22:10:00","2015-10-08 22:20:00","2015-10-08 22:30:00","2015-10-08 22:40:00","2015-10-08 22:50:00","2015-10-08 23:00:00","2015-10-08 23:10:00","2015-10-08 23:20:00","2015-10-08 23:30:00","2015-10-08 23:40:00","2015-10-08 23:50:00","2015-10-09 00:00:00"
"116",335,4,4,1,0,1,0,0,0,1,2,1,0,1,0,1,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,5,8,7,11,14,15,12,12,23,27,26,27,27,26,24,27,27,26,27,24,25,27,27,27,25,25,23,23,24,26,26,26,25,25,24,25,27,27,26,21,22,21,22,23,23,21,24,23,24,24,27,24,22,27,25,25,23,11,7,6,3,1,6,6,4,1,2,3,3,3,6,7,7,11,13,13
"117",336,34,33,33,31,30,31,26,26,22,22,24,19,20,19,18,16,14,13,11,9,9,8,5,4,5,5,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,1,1,2,7,8,12,10,12,11,10,11,12,9,8,11,12,19,21,23,25,25,26,25,26,27,30,33,34,35,35,32,33,35,33,34,34,34,33,34,34,34,32,33,34,34,34,34,34,33,34,33,31,28,29,29,28,34,33,33,33,35,35,35,34,34,33,35,34,35,35,33
"118",337,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,7,7,9,8,9,12,16,22,26,25,23,22,28,25,27,24,22,21,28,30,34,36,36,35,36,36,36,36,36,36,35,34,33,34,33,33,36,36,36,36,36,35,35,35,35,36,36,36,36,36,36,36,35,34,36,33,32,32,28,26,24,18,16,15,17,18,20,17,16,16,17,14,13,13,13,12,9,8,5
"119",339,17,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,18,18,18,19,20,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,12,11,10,8,7,6,5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,14,14,14,13,14,14,14,14,14,15,16,16,16,15,15,15,15,15,14,15,15,15,18,18,18,19,20,20,22,24,24,24,24,24,24
"120",340,18,20,19,19,19,19,18,17,17,17,17,17,18,18,19,21,22,22,22,22,21,22,22,22,22,22,22,22,22,22,22,23,23,24,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,24,24,24,24,24,24,24,22,22,21,19,19,19,20,18,17,17,14,14,13,12,13,14,10,9,9,9,7,7,6,5,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,2,3,2,3,2,1,0,0,0,1,0,1,1,1,2,5,7,8,10,9,10,10,10,10,10,10,10,10,9,10,12,12
"121",341,19,19,19,19,19,19,18,18,18,17,16,17,19,19,19,18,19,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,17,17,17,16,16,18,18,17,18,18,18,18,18,16,12,12,12,10,10,10,10,9,8,8,8,9,8,8,8,8,8,7,7,7,6,5,5,5,4,3,2,2,3,3,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,0,3,3,4,6,6,4,5,7,8,9,10,11,12,12,12,13,14,16,16
"122",342,19,16,13,14,15,16,18,22,25,19,20,21,21,21,24,25,26,26,27,27,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,19,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,15,15,15,15,15,14,14,14,13,13,14,14,14,13,11,10,11,7,5,1,0,0,8,7,7,5,4,10,9,10,11,12,13,10,9,8,15,13,9,9,8,7,8,8,6,5,5,6,5,5,5,5,4,5,6,6,6,6,6,6,5,3,4,0,0,1,1,1,0,0,1,1,4,4,4,7,6,8,10,10,10,12,14,16,18,20,21,15
"123",343,4,4,4,4,8,6,6,3,3,3,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,7,7,8,9,9,9,9,9,7,5,4,4,4,5,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,16,16,16,16,16,17,17,17
"124",344,15,16,17,18,18,17,17,17,17,17,17,18,18,19,19,21,20,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,18,17,17,17,16,14,13,12,10,10,10,9,9,9,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,8,9,9,9,9,9,9,10,10,10,10,10,11,12,11,11,11,9,8,9,9,9,9,9,9,9,11,11,11,13,14,14,14
"125",345,24,25,25,22,22,23,18,17,20,20,22,20,18,19,19,19,18,15,13,12,12,12,13,12,11,13,13,13,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,16,16,16,16,13,14,12,12,14,18,20,19,20,19,17,17,14,7,6,4,4,3,5,7,5,6,5,5,3,4,4,6,6,7,10,8,8,9,7,8,9,9,12,12,11,14,17,18,19,23,26,27,31,32,30,29,25,27,24,25,23,21,22,22,23,27,30,31,33,32,29,31,33,35,32,33,35,35,32,34,34,35,33,34
"126",346,25,24,25,25,25,25,25,24,25,26,26,26,26,26,26,23,23,21,21,23,22,22,22,22,23,23,23,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,22,21,21,23,23,22,18,19,15,10,8,6,0,1,0,0,2,1,0,0,0,0,0,1,0,0,2,1,1,1,0,0,0,1,1,2,3,3,5,4,4,4,1,3,3,2,2,2,0,1,0,0,0,0,1,4,5,5,3,5,18,17,20,22,21,21,22,22,22,24,19,20,23,23,24,24,23,23,23,21,20,20
"127",347,2,3,3,7,10,9,13,10,11,12,15,9,13,13,12,11,12,9,6,6,5,6,6,5,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,7,7,6,7,9,10,11,11,12,14,16,17,18,21,19,12,10,10,8,13,13,20,32,30,25,28,33,33,33,32,25,11,12,13,13,11,10,11,12,12,11,13,12,13,14,14,19,17,20,22,23,24,32,23,20,20,19,16,15,20,22,18,17,17,16,10,11,6,2,1,6,5,7,9,10,11,7,9,5,3,0,0,1,1,4,1
"128",348,22,24,23,22,17,16,17,16,12,12,10,11,8,9,9,8,9,10,9,7,5,4,5,2,3,3,2,3,2,3,4,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,2,2,1,4,8,9,16,21,25,29,31,35,41,41,41,41,41,41,41,41,41,40,39,42,41,41,40,40,41,38,40,40,42,42,38,35,36,38,39,41,41,42,42,40,35,33,31,34,31,30,29,28,26,28,31,32,33,35,35,30,33,27,20,23,21,22,23,23,21,22,25,24,22
"129",350,13,12,14,14,14,15,12,12,15,17,16,16,16,16,15,16,16,17,17,17,17,17,16,16,16,16,16,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,19,19,19,19,18,18,17,16,15,16,16,15,13,13,9,8,6,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,2,1,1,1,1,1,0,0,0,2,1,0,1,1,1,1,1,0,1,4,6,5,4,6,9,7,4,5,7,7,8,7,12,11,15,17,17,19,22,22,22,25,23
"130",351,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,5,5,7,8,11,14,17,20,20,23,32,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,36,36,36,37,34,33,32,32,31,31,30,31,31,32,33,32,32,31,31,32,30,32,31,31,30,31,31,31,31,32,31,31,25,24,16,13,10,9,9,9,6,0,0,2,1,0,0,0,0,0,0,0
"131",352,0,1,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6,6,10,10,11,13,18,23,26,29,35,36,35,36,32,36,36,33,32,31,33,30,33,30,32,35,33,35,36,35,35,33,35,36,36,36,34,33,26,27,30,31,30,30,29,29,31,17,16,18,16,16,15,20,20,20,19,17,17,16,17,19,15,15,12,8,3,0,0,2,0,1,0,1,0,1,0,0,3,0,0,2,1,0,0
"132",353,10,10,10,10,9,9,9,8,10,10,10,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,8,8,7,8,8,9,9,9,9,10,9,8,8,8,8,8,6,5,5,6,6,6,5,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,7,7,7,8,8,8,8,8,9,9,8,7,7,8,8,8,7,8,7,6,7,7,7,8,8,8,9,8,8,8,8,8
"133",354,11,9,9,8,8,7,8,11,12,11,11,11,11,11,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,13,13,12,12,9,8,5,5,3,3,3,2,1,2,1,1,0,0,0,0,0,4,4,3,3,3,3,3,4,4,4,4,3,3,3,4,3,3,2,2,1,2,3,2,3,3,3,3,3,3,2,2,1,2,2,1,2,4,4,4,4,5,4,4,4,5,5,7,7,7,6,7,8,8,9,10
"134",355,6,5,3,3,3,4,4,5,5,4,3,5,8,7,7,6,5,7,9,11,11,12,11,11,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,10,9,9,9,9,9,10,10,10,9,6,5,5,4,3,3,4,6,6,5,5,3,7,8,10,10,12,11,10,10,10,11,9,6,7,7,6,9,8,8,6,6,6,5,5,5,4,6,6,9,8,9,10,9,10,10,9,4,3,2,3,2,0,2,2,0,1,1,3,5,6,2,2,1,2,3,4,3,0,2,1,0,0,0,0,1
"135",356,19,19,21,17,15,13,14,12,15,17,19,23,18,18,14,16,16,16,15,14,16,18,19,21,22,18,15,16,16,16,16,17,17,17,17,17,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,20,20,21,22,20,20,19,16,17,16,15,17,11,10,13,12,11,10,8,7,8,8,17,17,18,17,17,10,8,7,9,8,7,7,7,6,5,1,1,1,1,1,2,2,2,3,3,6,6,6,7,7,6,4,3,3,4,4,4,4,4,4,4,3,4,11,11,13,15,18,20,19,20,22,18,16,9,11,13
"136",358,33,31,34,34,33,34,34,33,32,33,34,33,34,33,34,33,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,34,34,34,34,34,24,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,14,13,11,9,5,6,5,1,0,1,0,2,0,0,0,3,2,2,2,0,1,1,0,1,0,0,3,2,2,2,2,2,3,0,2,4,7,3,3,4,4,6,5,2,3,0,0,0,0,2,5,8,9,7,7,12,11,11,15,15,14,17,18,23,21,20,19,21,29,31,33,32,28,29,34,34,34,34,34,33,33,33,34,34
"137",359,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,3,7,12,13,18,29,34,42,45,50,48,50,46,45,49,50,48,51,48,51,49,50,43,43,44,47,47,47,47,45,46,45,46,45,43,42,40,41,43,42,41,40,40,37,38,40,46,44,45,46,47,48,47,47,45,44,40,38,38,32,33,29,25,23,16,10,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"138",360,0,0,1,0,0,0,0,0,1,1,1,2,0,0,1,1,1,0,0,0,0,0,0,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,0,1,3,4,3,3,3,5,5,5,6,11,13,15,17,16,19,22,25,27,27,28,29,27,26,26,28,28,30,30,30,30,30,31,27,25,26,25,25,26,24,25,25,25,24,24,24,22,22,20,19,19,19,17,17,16,15,14,15,14,12,12,10,9,11,13,6,6,5,4,0,0,0,0,0,1,2,0,0,0,0,0,1,0
"139",361,11,11,7,7,7,6,5,4,6,6,7,10,11,12,13,14,13,13,13,12,12,14,14,13,14,17,15,15,16,16,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,16,15,15,16,16,15,15,15,16,17,17,16,17,16,18,14,8,6,2,1,0,0,0,0,3,2,4,3,2,0,0,0,0,0,0,0,1,1,5,5,4,2,5,8,8,4,4,8,9,7,6,6,5,9,9,9,10,12,13,14,14,15,14,12,11,12,9,11,11,13,15,19,18,17,15,13,15,15,16,14,14,15,17,20,22
"140",362,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,4,1,2,0,3,8,12,12,16,16,16,17,16,15,19,19,17,16,17,20,19,18,18,17,18,19,17,15,13,13,14,13,12,13,13,12,12,10,9,10,10,9,11,11,10,11,11,11,11,12,11,7,8,8,3,0,1,4,2,0,0,0,0,1,0,2,0,0,3,0,0,0
"141",363,10,10,11,10,12,12,13,14,14,14,13,12,13,13,13,16,16,16,18,18,19,18,19,19,19,19,19,19,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,22,22,22,21,21,21,19,18,18,16,15,14,14,14,11,9,7,6,23,20,13,13,12,10,8,3,3,8,10,14,12,11,11,11,11,10,8,9,9,10,10,9,8,8,7,9,10,9,9,11,12,14,11,11,11,11,11,12,10,11,12,10,10,9,9,8,7,8,10,9,9,7,8,9,11,11,12,12,10,7,7,5,9,4,6,3,4,3,5
"142",364,5,4,4,5,5,6,7,7,7,7,8,7,7,7,7,7,7,8,9,9,9,9,9,8,8,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,7,7,5,5,4,4,4,4,4,4,4,4,3,3,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,0,0,1,1,1
"143",365,9,9,11,11,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,13,12,11,11,9,7,7,7,6,4,4,4,4,4,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,5,6,7,7,7,7,7,6,6,7,7,7,7,8,8,8,8,8,8,8,7,7,7,9,9,6,6,7,5,5,4,4
"144",366,18,18,18,19,22,26,27,28,27,26,28,28,28,28,28,28,29,31,31,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,31,31,31,31,29,28,28,28,28,27,23,21,20,19,18,16,14,9,5,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,2,1,1,2,0,0,3,3,3,0,0,1,1,0,1,1,0,2,4,4,4,5,3,6,7,8,8,10,10,9,6,7,7,6
"145",367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,7,13,16,18,25,26,29,32,34,34,34,34,32,34,32,31,34,33,32,32,32,34,34,34,33,34,33,33,33,34,33,31,33,33,32,19,9,1,0,1,1,2,6,7,7,7,7,8,7,4,3,2,1,0,1,3,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"146",368,35,36,36,35,36,35,36,34,36,34,33,28,29,26,25,27,29,27,26,25,23,26,26,21,20,20,21,20,21,21,21,20,20,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,17,17,17,17,17,17,17,17,16,16,15,13,11,9,8,4,3,3,2,0,0,0,2,9,16,17,19,21,24,21,19,17,19,23,23,26,26,28,26,25,26,28,27,28,32,36,37,37,35,36,35,33,32,29,31,31,35,36,33,36,34,33,35,32,33,31,32,34,34,34,33,35,32,29,32,37,33,36,32,29,35,30,36,37,32,35,36,36,36,35,37,37,37
"147",369,33,33,33,34,34,32,34,34,33,33,33,32,31,31,31,30,30,30,30,30,29,28,28,29,29,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,23,22,22,22,22,22,22,22,22,22,21,23,22,21,21,17,14,12,15,13,12,10,8,4,4,4,5,3,3,3,3,3,3,3,4,4,4,2,2,2,2,2,0,0,3,4,4,5,5,5,4,5,6,6,5,6,8,7,7,10,10,9,5,6,6,6,10,10,10,10,13,15,15,12,15,27,27,31,32,32,34,34,34,34
"148",372,12,12,12,13,13,13,13,13,13,14,14,14,14,14,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,14,14,11,11,11,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,12,13,13,12,12,12,1,1,1,1,1,2,2,2,2,2,2,3,3,3,2,3,4,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,2,2,2,2
"149",373,15,15,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,17,7,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,12,13,13,13,13,12,12,12,12,13,13,13,13,13,13
"150",375,13,11,12,11,14,10,7,3,4,2,1,1,1,3,4,0,0,1,0,2,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,5,5,5,6,5,5,7,6,7,7,7,8,5,1,0,5,2,6,13,13,24,22,24,27,28,27,27,28,28,28,28,28,28,28,28,28,27,28,28,28,29,29,29,29,27,23,25,26,27,26,27,26,28,29,28,27,27,27,27,24,20,21,25,25,27,28,20,21,22,18,17,13,20,17,20,21,21,21,21,23
"151",376,0,1,0,1,1,1,1,0,4,6,3,1,0,0,1,2,1,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,6,7,5,4,6,5,4,8,11,13,16,17,18,22,24,26,25,25,27,28,27,27,27,27,26,26,26,27,27,27,26,25,25,24,24,23,25,25,24,25,27,26,26,27,27,27,25,26,26,25,23,25,24,25,24,23,23,24,21,20,21,19,15,11,4,1,1,0,0,0,0,0,2
"152",377,0,1,1,0,0,0,3,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,2,2,2,2,2,2,2,4,3,3,6,7,9,13,14,17,22,25,31,36,40,45,46,46,47,47,47,47,47,47,47,47,47,47,46,46,46,45,45,44,44,45,46,47,46,47,45,47,45,44,44,44,44,42,40,42,42,41,41,43,45,44,44,43,42,41,40,40,40,37,35,33,31,23,18,20,13,10,7,5,4,4,3,3
"153",379,36,34,29,30,28,29,25,20,15,14,14,13,8,7,5,4,0,0,2,2,3,2,1,1,1,0,0,0,0,2,2,2,3,3,3,3,2,2,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,3,2,1,1,0,0,0,1,1,1,1,1,1,0,2,3,0,0,2,0,5,0,4,3,3,3,1,1,1,0,1,0,2,1,0,4,3,2,1,1,4,2,0,1,0,4,2,0,3,3,3,5,4,4,6,10,12,15,13,15,14,16,21,24,29,29,32,35,41,39,38,41,40,41,41,41,39,41,38,40,38,32,32,38,41,41,39,37
"154",380,37,38,37,36,38,38,37,36,37,37,37,37,37,37,35,32,31,31,33,32,30,28,28,27,27,26,27,28,28,27,27,27,29,28,28,28,28,28,28,28,28,27,27,27,27,27,27,27,25,25,25,25,25,25,25,25,25,24,24,23,23,22,21,20,19,17,17,17,16,16,15,15,13,9,9,11,4,1,0,0,0,0,0,0,0,0,1,2,0,3,2,2,3,1,0,1,4,4,4,1,0,0,2,3,5,7,6,9,12,14,15,10,10,9,10,11,11,10,13,13,13,16,15,14,18,20,21,25,26,28,15,14,17,17,22,25,31,35,36,35,35,35,35,36,36
"155",382,26,25,18,13,12,12,11,10,10,8,4,4,3,2,3,3,5,9,10,8,6,4,4,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,3,4,4,4,5,4,4,5,5,4,6,7,4,4,8,6,5,8,7,12,14,20,20,23,26,29,32,35,35,35,35,35,35,35,35,33,35,35,31,28,32,31,34,32,34,34,35,33,17,7,9,11,9,6,8,10,8,9,13,13,14,13,15,18,18,18,17,21,22,24,25,31,29,27,28,29,28,24,29,27,29,30,27,27,25,26
"156",383,34,37,37,37,37,37,37,37,37,34,33,34,35,32,35,35,31,30,28,28,27,31,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,13,13,13,12,12,12,14,15,14,11,11,11,10,10,8,8,6,5,3,1,1,0,0,0,0,1,0,0,2,0,0,2,1,2,2,2,2,3,3,4,7,9,8,9,9,9,7,7,8,9,11,10,10,9,11,14,17,17,15,12,9,11,12,11,10,10,11,9,11,13,14,11,12,11,19,17,19,22,26,31,34,36,37,37,36,37
